,Civil Servant
1,Registered Disabled
2,Retired
2,Air Force - N.C.O/Commissioned Officer
3,Air Force Other Ranks
3,Army NCO/Commissioned Officer
3,Army Other Ranks
3,British Aircraft Corp. Staff
3,Forces - Armed
3,Forces - H.M.
3,Forces - H.M.
3,H.M. Forces
3,H.M. Forces (N. Ireland Based)
3,H.M. Tax Inspector
3,Marine Pilot
3,Merchant Seaman
3,Navy - N.C.O/Commissioned Officer
3,Navy Other Ranks
3,Non Commissioned Officer
3,Oil Rig Crew
3,Rig Worker
3,Royal Air Force
3,Royal Marine
3,Royal Navy
3,Seaman
3,Soldier
3,Accommodation Officer
4,Accounts Assistant
4,Administrator
4,Accounts Clerk
4,Administration Assistant
4,Administration Staff
4,Administration Clerk
4,Administration Manager
4,Airline Employee
4,Airport - Staff
4,B.B.C. Employee - Clerical
4,Bank Staff
4,Booking Office Clerk
4,Bus Company Employee
4,Casual Worker
4,Check-out Assistant
4,Cinema Assistant
4,Civil Airline Crew
4,Civil Engineer
4,Cleaner
4,Clerk
4,Clerk - Booking
4,Clerk / Typist
4,Clerk of Works
4,Company Secretary
4,Company Secretary
4,Copy Typist
4,D.V.L.C. Employee
4,Data Administrator
4,Electricity Board Employee
4,Gas Board Employee
4,Harbour Board Employee
4,Health Service Employee
4,Hospital Admin Personnel
4,Hospital Clerical Staff
4,Hospital Worker
4,Hotel Receptionist
4,Hotel Worker
4,Housing Officer
4,Human Resources Staff
4,IBA (Clerical / Technical)
4,Immigration Officer
4,Inland Revenue Officer
4,Legal Secretary
4,Local Authority Employee
4,Magistrates Clerk
4,Mail Order Worker
4,Newspaper - Office Worker
4,PA Secretary
4,Packer
4,Payroll Clerk
4,Personal Assistant
4,Personnel Officer
4,Planning Officer
4,Post Office - Employee
4,Post Office - Telephonist
4,Post Sorter
4,Railway - Clerical Worker
4,Receptionist
4,Receptionist - Dental
4,Receptionist - Doctors
4,Receptionist - Hotel
4,Sales Administrator
4,Secretary - Clerical
4,Shift Controller
4,Shipping Clerk
4,Social Security Employee
4,Sports Administrator
4,Taxi Controller
4,Transport Officer
4,Typist
4,Wages Clerk
4,Warehouse - Employee
4,Warehouseman
4,Waterboard Employee
4,Agricultural Engineer
5,Aeronautical Engineer
5,Aircraft Engineer
5,Anthropologist
5,Archaeologist
5,Architect Technician
5,Astrologer
5,Astronomer
5,Atomic Energy - Scientist
5,Biochemist
5,Biologist
5,Botanist
5,Broadcasting Engineer
5,Cartographer
5,Chartered Engineer
5,Chemical Engineer
5,Computer Engineer
5,Computer Technician
5,Construction Engineer
